"","HHID","Year","Householdsize","FCS","Numberofdiffererentcropsproducedbythehousehold","Sexofhouseholdhead","Ageofthehouseholdhead","Educationlevelofthehouseholdhead","Totalcroppedarea","DDS","Numberofhouseholdproductionbynutritionalgroup","Foodexpenditure","Nonfoodexpenditure","Incomes","Region","Numberofdifferentnonagriculturalincomesources","Proportionoffoodconsumedinpreviousoneweekfromhouseholdsownproduction","Simpsonsindex","CaloriesbyHH","HeadAgricultureDecision","Agriculturalincomes","NonAgriculturalincomes","Propertyincomes","Investments","Transfers"
"127","1043000809","2009",9,96.5,5,"Male",50,17,5,9,4,522,203.1,1500,"Central",0,0.3333333333,0.7777777778,77623.62,"1",421.255188810788,0,0,0,842.510377621576
"128","1043000809","2010",9,44,6,"Male",51,31,3.24,7,4,44.7373010517057,63.3567803971425,227.477801957826,"Central",1,0.2222222222,0.7928994083,21810,"1",0,0,227.477801957826,0,0
"129","1043000809","2012",10,88.5,5,"Male",53,34,2,10,3,290.18170532554,133.822018931641,1551.77382527027,"Central",0,0.5,0.32,96210,"1",73.8939916795365,0,0,1477.87983359073,0
"130","1043000810","2009",14,54,4,"Male",60,34,3.65,9,2,809.9,93.6,580,"Central",1,0.0714285714,0.72,94688.4,"1",488.656019020514,0,0,0,0
"131","1043000810","2010",14,82,11,"Male",61,34,2.54,9,6,147.523567121538,63.8622866237155,303.303735943767,"Central",1,0.5882352941,0.9070294785,126965,"1",303.303735943767,0,0,0,0
"132","1043000810","2012",14,82,9,"Male",62,34,2.5999999046,10,5,450.014409328377,136.186626665386,554.204937596524,"Central",0,0.3333333333,0.78125,156736.000012159,"1",554.204937596524,0,0,0,0
"133","1043000811","2009",4,97.5,4,"Male",28,17,1.03,11,4,803.7,96.8,240,"Central",0,0.0588235294,0.72,37070.02,"1",0,0,202.202490629178,0,0
"134","1043000811","2010",5,86,4,"Male",29,32,0.59,10,3,805.187167892941,124.523033812469,8138.65024782443,"Central",1,0,0.7083333333,27904.0000370592,"1",50.5506226572946,0,8088.09962516713,0,0
"135","1043000811","2012",5,80,2,"Male",30,15,0.3000000119,11,2,818.006487892469,80.5444509306948,620.709530108107,"Central",1,0.0555555556,0.4444444444,72005,"1",0,0,620.709530108107,0,0
"136","1051000110","2009",13,111,4,"Male",46,15,1.1899999976,12,2,883.2,5345,9490,"Central",0,0.347826087,0.6666666667,152438.94,"1",0,0,0,1213.21494377507,6782.20853985369
"137","1051000110","2010",13,NA,3,"Male",46,NA,1.35,NA,1,NA,4286.52429926306,NA,"Central",0,NA,0.4883137119,NA,"1",0,0,0,0,0
"138","1051000110","2012",16,64,3,"Male",47,0,0,8,2,608.073657530906,3846.92120683667,6517.45006613512,"Central",1,0.1538461538,NA,131535,"0",0,0,3325.22962557914,3192.22044055598,0
"139","1053000403","2009",6,19.5,4,"Male",81,NA,1.48,5,3,27,24.6,100,"Central",0,0.4444444444,0.71875,13848.02,"1",0,0,0,0,84.2510377621576
"140","1053000403","2010",13,56,7,"Male",81,12,3.16,8,5,65.6315584167208,41.6200126545059,1600.769717481,"Central",0,0.4285714286,0.8429752066,90115,"1",1137.38900978913,0,0,0,463.380707691867
